word,categories
$:,vader_negative
%),vader_negative
%-),vader_negative
&-:,vader_negative
&:,vader_negative
( '}{' ),vader_positive
(%,vader_negative
('-:,vader_very_positive
(':,vader_very_positive
((-:,vader_very_positive
(*,vader_positive
(-%,vader_negative
(-*,vader_positive
(-:,vader_positive
(-:0,vader_very_positive
(-:<,vader_negative
(-:o,vader_positive
(-:{,vader_negative
(-:|>*,vader_positive
(-;,vader_positive
(-;|,vader_very_positive
(8,vader_very_positive
(:,vader_very_positive
(:0,vader_very_positive
(:<,vader_negative
(:o,vader_very_positive
(;,vader_positive
(;<,vader_positive
(=,vader_very_positive
(?:,vader_very_positive
(^:,vader_positive
(^;,vader_positive
(^;0,vader_very_positive
(^;o,vader_positive
(o:,vader_positive
)':,vader_very_negative
)-':,vader_very_negative
)-:,vader_very_negative
)-:<,vader_very_negative
)-:{,vader_very_negative
):,vader_negative
):<,vader_negative
):{,vader_very_negative
);<,vader_very_negative
*),vader_positive
*-),vader_positive
*-:,vader_very_positive
*-;,vader_very_positive
*:,vader_positive
*<|:-),vader_positive
*\0/*,vader_very_positive
*^:,vader_positive
",-:",vader_positive
---'-;-{@,vader_very_positive
--<--<@,vader_very_positive
.-:,vader_negative
..###-:,vader_negative
..###:,vader_negative
/-:,vader_negative
/:,vader_negative
/:<,vader_negative
/=,vader_negative
/^:,vader_negative
/o:,vader_negative
0-8,vader_positive
0-|,vader_negative
0:),vader_positive
0:-),vader_positive
0:-3,vader_positive
0:03,vader_positive
0;^),vader_positive
0_o,vader_negative
10q,vader_very_positive
1337,vader_very_positive
143,vader_very_positive
1432,vader_very_positive
14aa41,vader_very_positive
182,vader_very_negative
187,vader_very_negative
2g2b4g,vader_very_positive
2g2bt,vader_negative
2qt,vader_very_positive
3:(,vader_very_negative
3:),vader_positive
3:-(,vader_very_negative
3:-),vader_negative
4col,vader_very_negative
4q,vader_very_negative
5fs,vader_positive
8),vader_positive
8-d,vader_positive
8-o,vader_negative
86,vader_negative
8d,vader_very_positive
:###..,vader_very_negative
:$,vader_negative
:&,vader_negative
:'(,vader_very_negative
:'),vader_very_positive
:'-(,vader_very_negative
:'-),vader_very_positive
:(,vader_negative
:),vader_very_positive
:*,vader_very_positive
:-###..,vader_very_negative
:-&,vader_negative
:-(,vader_negative
:-),vader_positive
:-)),vader_very_positive
:-*,vader_positive
":-,",vader_positive
:-.,vader_negative
:-/,vader_negative
:-<,vader_negative
:-[,vader_negative
:-\,vader_negative
:-c,vader_negative
:-d,vader_very_positive
:-o,vader_positive
:-p,vader_positive
:-|,vader_negative
:-||,vader_very_negative
:-þ,vader_positive
:/,vader_negative
:3,vader_very_positive
:<,vader_very_negative
:>,vader_very_positive
:?),vader_positive
:?c,vader_negative
:@,vader_very_negative
:[,vader_very_negative
:\,vader_negative
:],vader_very_positive
:^),vader_very_positive
:^*,vader_very_positive
:^/,vader_negative
:^\,vader_negative
:^|,vader_negative
:c,vader_very_negative
:c),vader_very_positive
:d,vader_very_positive
