Kay Ivey,Alabama
Mike Dunleavy,Alaska
Katie Hobbs,Arizona
Sarah Huckabee Sanders,Arkansas
Gavin Newsom,California
Jared Polis,Colorado
Ned Lamont,Connecticut
Matt Meyer,Delaware
Ron DeSantis,Florida
Brian Kemp,Georgia
Josh Green,Hawaii
Brad Little,Idaho
J.B. Pritzker,Illinois
Mike Braun,Indiana
Kim Reynolds,Iowa
Laura Kelly,Kansas
Andy Beshear,Kentucky
Jeff Landry,Louisiana
Janet Mills,Maine
Wes Moore,Maryland
Maura Healey,Massachusetts
Gretchen Whitmer,Michigan
Tim Walz,Minnesota
Tate Reeves,Mississippi
Mike Kehoe,Missouri
Greg Gianforte,Montana
Jim Pillen,Nebraska
Joe Lombardo,Nevada
Kelly Ayotte,New Hampshire
Mikie Sherrill,New Jersey
Michelle Lujan Grisham,New Mexico
Kathy Hochul,New York
Josh Stein,North Carolina
Kelly Armstrong,North Dakota
Mike DeWine,Ohio
Kevin Stitt,Oklahoma
Tina Kotek,Oregon
Josh Shapiro,Pennsylvania
Dan McKee,Rhode Island
Henry McMaster,South Carolina
Larry Rhoden,South Dakota
Bill Lee,Tennessee
Greg Abbott,Texas
Spencer Cox,Utah
Phil Scott,Vermont
Abigail Spanberger,Virginia
Bob Ferguson,Washington
Patrick Morrisey,West Virginia
Tony Evers,Wisconsin
Mark Gordon,Wyoming
Muriel Bowser,District of Columbia
Pula Nikolao Pula,American Samoa
Lou Leon Guerrero,Guam
Arnold Palacios,Northern Mariana Islands
Jenniffer González-Colón,Puerto Rico
Albert Bryan,U.S. Virgin Islands
