Afghanistan,Hibatullah Akhundzada,Hasan Akhund
Albania,Bajram Begaj,Edi Rama
Algeria,Abdelmadjid Tebboune,Sifi Ghrieb
Andorra,Josep-Lluís Serrano Pentinat,Xavier Espot
Andorra,Josep-Lluis Serrano Pentinat,Xavier Espot
Angola,João Lourenço,João Lourenço
Angola,Joao Lourenco,Joao Lourenco
Antigua and Barbuda,Charles III,Gaston Browne
Argentina,Javier Milei,Javier Milei
Armenia,Vahagn Khachaturyan,Nikol Pashinyan
Australia,Charles III,Anthony Albanese
Austria,Alexander Van der Bellen,Christian Stocker
Azerbaijan,Ilham Aliyev,Ali Asadov
The Bahamas,Charles III,Philip Davis
Bahrain,Hamad bin Isa Al Khalifa,Salman bin Hamad Al Khalifa
Bangladesh,Mohammed Shahabuddin,Tarique Rahman
Barbados,Jeffrey Bostic,Mia Mottley
Belarus,Alexander Lukashenko,Aleksandr Turchin
Belgium,Philippe,Bart De Wever
Belize,Charles III,Johnny Briceño
Belize,Charles III,Johnny Briceno
Benin,Patrice Talon,Patrice Talon
Bhutan,Jigme Khesar Namgyel Wangchuck,Tshering Tobgay
Bolivia,Rodrigo Paz,Rodrigo Paz
Bosnia and Herzegovina,Denis Bećirović,Borjana Krišto
Bosnia and Herzegovina,Denis Becirovic,Borjana Kristo
Botswana,Duma Boko,Duma Boko
Brazil,Luiz Inácio Lula da Silva,Luiz Inácio Lula da Silva
Brazil,Luiz Inacio Lula da Silva,Luiz Inacio Lula da Silva
Brunei,Hassanal Bolkiah,Hassanal Bolkiah
Bulgaria,Iliana Iotova,Rumen Radev
Burkina Faso,Ibrahim Traoré,Jean Emmanuel Ouédraogo
Burkina Faso,Ibrahim Traore,Jean Emmanuel Ouedraogo
Burundi,Évariste Ndayishimiye,Nestor Ntahontuye
Burundi,Evariste Ndayishimiye,Nestor Ntahontuye
Cabo Verde,José Maria Neves,Ulisses Correia e Silva
Cabo Verde,Jose Maria Neves,Ulisses Correia e Silva
Cambodia,Norodom Sihamoni,Hun Manet
Cameroon,Paul Biya,Joseph Ngute
Canada,Charles III,Mark Carney
