keyword,category,tier
real estate,general,core
real property,general,core
property,general,core
properties,general,core
housing,general,core
housing market,general,core
real estate market,general,core
property market,general,core
home,general,contextual
homes,general,contextual
house,general,contextual
houses,general,contextual
homeowner,general,core
homeownership,general,core
homebuyer,general,core
homebuyers,general,core
home buyer,general,core
first-time buyer,general,core
first-time homebuyer,general,core
home seller,general,core
residential,general,core
commercial real estate,general,core
CRE,general,core
industrial real estate,general,related
mixed-use,general,related
single-family,property types,core
single family home,property types,core
multi-family,property types,core
multifamily,property types,core
duplex,property types,core
triplex,property types,core
fourplex,property types,core
townhouse,property types,core
townhome,property types,core
condo,property types,core
condominium,property types,core
co-op,property types,related
cooperative,property types,related
apartment,property types,core
apartment building,property types,core
apartment complex,property types,core
penthouse,property types,related
loft,property types,related
studio apartment,property types,related
mansion,property types,related
estate,property types,related
bungalow,property types,related
ranch house,property types,related
colonial,property types,contextual
Cape Cod,property types,contextual
Tudor,property types,contextual
Victorian,property types,contextual
craftsman,property types,contextual
split-level,property types,related
mobile home,property types,core
manufactured home,property types,core
modular home,property types,related
prefab,property types,related
tiny home,property types,related
tiny house,property types,related
ADU,property types,core
accessory dwelling unit,property types,core
granny flat,property types,related
in-law suite,property types,related
guest house,property types,related
fixer-upper,property types,core
teardown,property types,related
new construction,property types,core
new build,property types,core
pre-construction,property types,related
spec home,property types,related
tract home,property types,related
custom home,property types,related
vacant lot,property types,core
vacant land,property types,core
raw land,property types,related
acreage,property types,related
parcel,property types,related
lot,property types,contextual
plot,property types,contextual
office space,commercial property types,core
office building,commercial property types,core
retail space,commercial property types,core
storefront,commercial property types,related
strip mall,commercial property types,related
shopping center,commercial property types,related
mall,commercial property types,contextual
warehouse,commercial property types,core
industrial park,commercial property types,related
flex space,commercial property types,related
coworking space,commercial property types,related
self-storage,commercial property types,related
hotel,commercial property types,contextual
hospitality,commercial property types,contextual
data center,commercial property types,related
medical office,commercial property types,related
for sale,buying and selling,core
for sale by owner,buying and selling,core
FSBO,buying and selling,core
listed,buying and selling,core
listing,buying and selling,core
new listing,buying and selling,core
just listed,buying and selling,core
price reduced,buying and selling,core
price cut,buying and selling,core
price drop,buying and selling,core
asking price,buying and selling,core
list price,buying and selling,core
sale price,buying and selling,core
sold,buying and selling,related
just sold,buying and selling,core
pending,buying and selling,core
under contract,buying and selling,core
contingent,buying and selling,core
active listing,buying and selling,related
days on market,buying and selling,core
DOM,buying and selling,related
off-market,buying and selling,core
pocket listing,buying and selling,related
open house,buying and selling,core
showing,buying and selling,related
home tour,buying and selling,related
walkthrough,buying and selling,related
bidding war,buying and selling,core
multiple offers,buying and selling,core
best and final,buying and selling,related
highest and best,buying and selling,related
overbid,buying and selling,related
lowball offer,buying and selling,related
