Tommy Tuberville,Alabama
Katie Britt,Alabama
Lisa Murkowski,Alaska
Dan Sullivan,Alaska
Mark Kelly,Arizona
Ruben Gallego,Arizona
John Boozman,Arkansas
Tom Cotton,Arkansas
Alex Padilla,California
Adam Schiff,California
Michael Bennet,Colorado
John Hickenlooper,Colorado
Richard Blumenthal,Connecticut
Chris Murphy,Connecticut
Lisa Blunt Rochester,Delaware
Chris Coons,Delaware
Ashley Moody,Florida
Rick Scott,Florida
Jon Ossoff,Georgia
Raphael Warnock,Georgia
Brian Schatz,Hawaii
Mazie Hirono,Hawaii
Mike Crapo,Idaho
Jim Risch,Idaho
Dick Durbin,Illinois
Tammy Duckworth,Illinois
Todd Young,Indiana
Jim Banks,Indiana
Chuck Grassley,Iowa
Joni Ernst,Iowa
Jerry Moran,Kansas
Roger Marshall,Kansas
Mitch McConnell,Kentucky
Rand Paul,Kentucky
Bill Cassidy,Louisiana
John Kennedy,Louisiana
Susan Collins,Maine
Angus King,Maine
Chris Van Hollen,Maryland
Angela Alsobrooks,Maryland
Elizabeth Warren,Massachusetts
Ed Markey,Massachusetts
Gary Peters,Michigan
Elissa Slotkin,Michigan
Amy Klobuchar,Minnesota
Tina Smith,Minnesota
Roger Wicker,Mississippi
Cindy Hyde-Smith,Mississippi
Eric Schmitt,Missouri
Josh Hawley,Missouri
Steve Daines,Montana
Tim Sheehy,Montana
Deb Fischer,Nebraska
Pete Ricketts,Nebraska
Catherine Cortez Masto,Nevada
Jacky Rosen,Nevada
Jeanne Shaheen,New Hampshire
Maggie Hassan,New Hampshire
Cory Booker,New Jersey
Andy Kim,New Jersey
Martin Heinrich,New Mexico
Ben Ray Luján,New Mexico
Chuck Schumer,New York
Kirsten Gillibrand,New York
Thom Tillis,North Carolina
Ted Budd,North Carolina
John Hoeven,North Dakota
Kevin Cramer,North Dakota
Jon Husted,Ohio
Bernie Moreno,Ohio
James Lankford,Oklahoma
Alan Armstrong,Oklahoma
Ron Wyden,Oregon
Jeff Merkley,Oregon
John Fetterman,Pennsylvania
Dave McCormick,Pennsylvania
Jack Reed,Rhode Island
Sheldon Whitehouse,Rhode Island
Lindsey Graham,South Carolina
Tim Scott,South Carolina
John Thune,South Dakota
Mike Rounds,South Dakota
Marsha Blackburn,Tennessee
Bill Hagerty,Tennessee
John Cornyn,Texas
Ted Cruz,Texas
Mike Lee,Utah
John Curtis,Utah
Bernie Sanders,Vermont
Peter Welch,Vermont
Mark Warner,Virginia
Tim Kaine,Virginia
Patty Murray,Washington
Maria Cantwell,Washington
Shelley Moore Capito,West Virginia
Jim Justice,West Virginia
Ron Johnson,Wisconsin
Tammy Baldwin,Wisconsin
John Barrasso,Wyoming
Cynthia Lummis,Wyoming
